"","25m_only","25m_75m","25m_110m","25m_500m","75m_only","75m_110m","75m_500m","110m_only","110m_500m","500m_only","25m_75m_110m","75m_110m_500m","25m_110m_500m","25m_75m_500m","25m_75m_110m_500m"
"None",0,0,0,0,1,2,0,0,1,2,0,1,0,2,2
"TCA-VARIANTS",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Respiration",0,0,0,0,1,1,0,0,0,2,0,2,0,0,0
"Photosynthesis",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Pentose-Phosphate-Cycle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTHER-ENERGY",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"METHANOGENESIS",0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
"Hydrogen-Production",0,0,0,0,1,0,0,0,0,2,0,1,0,0,0
"GLYCOLYSIS-VARIANTS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fermentation",0,0,0,0,0,0,0,6,2,6,0,0,0,1,1
"Electron-Transfer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHEMOAUTOTROPHIC-ENERGY-METABOLISM",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Acetyl-CoA-Biosynthesis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Mercury-Detoxification",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cyanide-Detoxification",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arsenate-Detoxification",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Antibiotic-Resistance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acid-Resistance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Steroids-Degradation",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SECONDARY-METABOLITE-DEGRADATION",0,0,0,0,0,0,0,2,3,6,1,5,0,0,7
"Protein-Degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polymer-Degradation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other-Degradation",0,0,0,0,0,0,1,5,2,2,0,0,0,0,1
"Noncarbon-Nutrients",0,0,0,0,1,3,0,4,1,2,0,1,0,2,2
"NUCLEO-DEG",0,0,0,0,0,1,0,3,0,0,1,1,0,0,5
"HORMONE-DEG",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"Fatty-Acid-and-Lipid-Degradation",0,0,0,0,0,0,0,4,1,2,0,0,0,0,4
"Carbohydrates-Degradation",1,1,0,3,0,0,0,3,2,3,2,5,1,3,14
"COFACTOR-DEGRADATION",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CHLORINATED-COMPOUNDS-DEG",0,0,0,1,0,1,0,0,0,2,0,0,0,0,1
"CARBOXYLATES-DEG",0,0,0,0,0,1,0,3,3,3,3,1,0,0,3
"C1-COMPOUNDS",0,0,0,0,1,0,0,2,2,3,0,1,0,0,0
"Amino-Acid-Degradation",1,1,0,0,1,1,1,12,6,5,2,8,2,0,10
"Aldehyde-Degradation",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Methylglyoxal-Detoxification",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Alcohol-Degradation",0,0,0,0,0,0,0,2,2,2,0,0,0,0,1
"AROMATIC-COMPOUNDS-DEGRADATION",0,0,0,2,2,1,3,3,2,14,0,4,1,2,9
"AMINE-DEG",1,0,0,0,0,0,0,3,5,2,0,1,1,0,5
"Siderophores-Biosynthesis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SECONDARY-METABOLITE-BIOSYNTHESIS",1,4,0,1,0,4,2,5,4,14,7,2,2,2,15
"Polyamine-Biosynthesis",1,0,0,0,0,0,1,3,0,2,0,2,0,0,2
"Other-biosynthesis",0,0,0,0,0,0,2,2,0,0,2,0,0,1,2
"Nucleotide-Biosynthesis",0,0,0,0,0,0,0,0,0,3,0,4,1,1,4
"Metabolic-Regulators",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Lipid-Biosynthesis",1,0,1,1,1,1,1,0,2,10,2,2,2,0,6
"HORMONE-SYN",0,0,0,0,0,0,0,1,1,3,0,1,0,0,1
"Cofactor-Biosynthesis",1,0,0,3,1,3,4,5,8,14,8,6,2,1,21
"Cell-Structure-Biosynthesis",1,0,0,0,0,0,0,0,1,2,0,2,0,0,5
"Carbohydrates-Biosynthesis",1,0,0,0,0,1,2,4,1,1,2,2,0,1,4
"Aminoacyl-tRNAs-Charging",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amino-Acid-Biosynthesis",1,0,0,0,0,0,2,5,2,5,2,1,1,1,7
"AROMATIC-COMPOUNDS-BIOSYN",0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"Interconversion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inactivation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
